system:index,allDecShrub_1992_cover,allDecShrub_2020_cover,allEvShrub_1992_cover,allEvShrub_2020_cover,allForb_1992_cover,allForb_2020_cover,alnshr_1992_cover,alnshr_2020_cover,area,betshr_1992_cover,betshr_2020_cover,graminoid_1992_cover,graminoid_2020_cover,name,salshr_1992_cover,salshr_2020_cover,tmlichen_1992_cover,tmlichen_2020_cover,.geo
0,3.3103801663161194E11,3.893531591954829E11,1.5007319872669412E11,1.6756193624452927E11,6.935841206932945E10,7.649328630822353E10,6.056586579338816E10,8.986986838920006E10,1.977239593521178E12,9.974655448962346E10,1.1021095414888237E11,1.971607550594824E11,1.6440629301628235E11,ak_yt,1.0539995730952924E11,1.0320375391012943E11,9.429709478777655E10,8.098948696351765E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7.020141847249417E10,8.159616837928233E10,2.7575648344870598E10,3.256549453997644E10,1.2667842819494122E10,1.4513917867023525E10,8.244632445423532E9,1.234625349758824E10,3.494423106529412E11,2.018889476251764E10,2.278440171744707E10,6.488912713944704E10,5.360644854035293E10,wah,2.311708164847058E10,2.3010017657576473E10,1.4342428121470596E10,1.3199017850152939E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.837852715047059E10,5.715540867787058E10,3.1191616610858833E10,3.2958089059270596E10,8.725065276211767E9,9.390648779788239E9,3.851356011635293E9,7.683918563541174E9,2.8232694789176465E11,1.4908816520788239E10,1.787432405114118E10,2.8082603097176468E10,2.4468481489870586E10,porcupine,1.8909262995141182E10,1.7678820967941174E10,1.4812498705164703E10,1.3107115264835293E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.4903263598741184E10,3.019941565856471E10,1.1829348987070583E10,1.3122611121564705E10,1.5735919727647057E9,2.0206238740588238E9,4.396244738117648E9,7.301056954976472E9,1.2575629329529414E11,8.89183932194118E9,1.0530509453611765E10,6.391671332329412E9,6.120767351929413E9,fortymile_ssf,7.55831230344706E9,7.122812819717648E9,8.204153280317645E9,6.405173665764704E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
