LC,caribou_density,season,pft,count,mean,variance
Evergreen forest,Medium,winter,Lichens,605529,-0.072731284,0.014107583
Deciduous forest,Medium,winter,Deciduous shrubs,21,0.075033333,0.017060852
Deciduous forest,Medium,winter,Evergreen shrubs,21,-0.013733334,0.005815732
Deciduous forest,Medium,winter,Forbs,21,0,0
Deciduous forest,Medium,winter,Alder,21,0.043157143,0.0088507
Deciduous forest,Medium,winter,Birch,21,0.03645238,0.024762183
Deciduous forest,Medium,winter,Graminoids,21,-0.047885715,0.021793804
Deciduous forest,Medium,winter,Willow,21,0.002285714,0.001765268
Deciduous forest,Medium,winter,Lichens,21,-0.025414286,0.002927504
Mixed forest,Medium,winter,Deciduous shrubs,3980,0.08968794,0.036153673
Mixed forest,Medium,winter,Evergreen shrubs,3980,-0.02117294,0.00670942
Mixed forest,Medium,winter,Forbs,3980,8.46733E-06,0.000393762
Mixed forest,Medium,winter,Alder,3980,0.076292186,0.015785878
Mixed forest,Medium,winter,Birch,3980,0.039441281,0.0333304
Mixed forest,Medium,winter,Graminoids,3980,-0.028939673,0.007038721
Mixed forest,Medium,winter,Willow,3980,-0.014221759,0.003651878
Mixed forest,Medium,winter,Lichens,3980,-0.0597,0.010583216
Woodland,Medium,winter,Deciduous shrubs,4689066,0.070895216,0.017824084
Woodland,Medium,winter,Evergreen shrubs,4689066,-0.007455804,0.002455916
Woodland,Medium,winter,Forbs,4689066,0.000854663,0.000471647
Woodland,Medium,winter,Alder,4689066,0.038698032,0.004798609
Woodland,Medium,winter,Birch,4689066,0.016032414,0.013644949
Woodland,Medium,winter,Graminoids,4689066,-0.01728398,0.005691571
Woodland,Medium,winter,Willow,4689066,-0.000948551,0.001384057
Woodland,Medium,winter,Lichens,4689066,-0.071667337,0.014353329
Low shrub,Medium,winter,Deciduous shrubs,1512293,0.058158453,0.028546784
Low shrub,Medium,winter,Evergreen shrubs,1512293,-0.014694232,0.008365584
Low shrub,Medium,winter,Forbs,1512293,0.001407401,0.000472257
Low shrub,Medium,winter,Alder,1512293,0.025138186,0.003793097
Low shrub,Medium,winter,Birch,1512293,0.037890751,0.034239365
Low shrub,Medium,winter,Graminoids,1512293,-0.044917693,0.013927897
Low shrub,Medium,winter,Willow,1512293,0.000169413,0.003852157
Low shrub,Medium,winter,Lichens,1512293,-0.040751553,0.010306967
Tall shrub,Medium,winter,Deciduous shrubs,177861,0.056231678,0.037237481
Tall shrub,Medium,winter,Evergreen shrubs,177861,-0.008778695,0.009375293
Tall shrub,Medium,winter,Forbs,177861,0.001791144,0.000571341
Tall shrub,Medium,winter,Alder,177861,0.046157151,0.009940315
Tall shrub,Medium,winter,Birch,177861,0.05953987,0.046286805
Tall shrub,Medium,winter,Graminoids,177861,-0.054075199,0.012519331
Tall shrub,Medium,winter,Willow,177861,-0.025168204,0.009181423
Tall shrub,Medium,winter,Lichens,177861,-0.035665398,0.006258413
Open shrubs,Medium,winter,Deciduous shrubs,68344,0.075498095,0.027338307
