system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,70.25503425430814,32.68,156.7,60.7441238617724,68.24410565240832,77.74314295929872,13.782478687650444,18.11237704546087,5.61,47.75,15.618005092355041,17.86995792811159,20.118242628916185,3.62041674597478,27.862646394937236,12.52,66.36,24.121068755008288,27.119378358466296,30.86948332999866,5.348367435883112,18.594781807551733,5.7,44.51,16.122458228007577,18.119433278691115,20.61802963726756,3.572499937117369,43.162266573562114,18.235,91.27000000000001,35.74693837377271,41.24537593687345,49.24561359351855,9.82418965218357,17.12802991475238,4.89,47.08,14.622414408292785,16.619270044160956,19.12201059516439,3.6990289676514556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,101.01584958106656,46.99,148.72,91.7504180064308,101.74619731800765,112.744302631579,16.508335370771054,17.050922050589673,6.8,43.94,14.621158690176356,16.62043125533733,19.119023779724667,3.5643075413902254,37.59268951276653,12.79,68.63,32.37245614035087,37.873887755102054,42.614116972477085,7.210746027631055,20.065331109611037,9.932500000000001,43.01,17.622592016588904,19.868557046979873,22.116102857142863,3.5451407581226375,68.74072522468857,35.37,118.57,59.24614973262032,68.2414066726781,77.7486556603774,13.301106970752915,16.107202080768865,6.93,40.22,13.620223463687145,15.621027651671467,17.865707376058044,3.493698025228145,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,110.98395182588152,60.32,151.265,100.2383011583012,111.24606476938183,122.24686974789904,14.65831531995669,17.750129541936168,8.21,39.87,15.55994756554314,17.435129342202412,19.561006647673388,3.2987195608816244,42.141219378927204,18.37,81.51,37.37250000000002,42.120534469403566,46.86982398239825,7.248037896789571,21.177231240324247,9.5,45.32,19.120640429338096,20.871360134003357,22.867688323917143,3.354008502652147,82.71994069301509,39.92,129.1,72.74846335697404,83.75320569902046,93.74526315789467,14.892986088046007,16.654820257717837,5.98,39.58,14.369911926605514,16.11926529255321,18.368782188841195,3.4420767303976043,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,105.95624412870714,64.7,146.63,95.74798830409367,105.24873798076926,115.7473342175066,13.076438090547578,17.866797969008402,8.92,41.16,15.871265377855913,17.61913405495419,19.616708482676216,3.034497997702007,42.1504136609066,20.095,78.64,37.11897435897436,42.118350168350105,47.121273209549095,7.284210941764874,20.973751042565937,10.95,43.18,18.873455549974874,20.61718170047477,22.86830718954251,3.212759532659788,79.333005077479,40.79,118.94,69.741261829653,80.24755813953485,89.24463636363636,13.372744394822774,16.93045024216811,8.58,39.23,14.684943502824751,16.435236794171125,18.684638109305656,3.1942430180798236,"{""type"":""MultiPoint"",""coordinates"":[]}"
