system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,77.59084467829437,24.093333333333334,148.88,63.2405660823383,79.74725158538378,90.24527136434466,18.21762502913966,16.9240560491453,4.4475,51.57,13.369996044348506,16.62169906828257,19.866125174766232,5.179798536561051,28.19150439565431,9.7,68.09,22.6220060979272,27.36904032765603,32.62001788702324,7.630360591935158,18.894178251708894,5.99,72.33,15.745017786945775,18.245404558982806,21.739895849742517,5.143812129481702,46.216836783623535,15.94,97.85,35.74408320275881,45.24943718222788,55.246872716121004,12.341018190810217,16.62731707538158,4.67,65.08,13.115853648194046,16.121194718526105,19.367576785061754,5.221403753229955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,91.37812166768032,27.62,146.79,78.7479633204633,94.74304291583805,104.2465459965931,20.091564038571022,17.71489981717699,5.166,75.9,13.74492465917245,16.74501169531169,20.238223684996232,5.91386431155037,34.698410026547826,9.655,80.71,26.745285076059663,33.74222323049006,41.74376631853781,10.182483958435295,20.933662042008667,3.73,80.94,17.249213607073344,19.744962693705737,23.239554322233392,6.121806285436185,59.53834524951674,17.07,116.0,46.74070932250147,57.7461859581868,71.7420959147424,16.90156247985961,17.587109727989457,3.86,80.03,13.749812387170467,16.243472799208718,19.739135974864706,6.322808242756258,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,113.87292302400019,72.78,145.41,106.25125698324025,113.74836236933801,121.73552068473614,11.024487609502597,17.98839491683193,8.57,45.74,15.370073964497037,17.367160904255325,19.866187363834417,3.86577449766667,45.29875430005283,22.91,78.64,40.370095785440604,45.114962063732946,50.11607553366177,7.246134762017664,22.70480351289008,12.7,49.27,20.121148843930637,22.119399085565007,24.622572864321608,3.8304481702690167,84.91762414504812,43.42,117.65,77.74245378151262,86.24371837183716,93.23555694618267,11.43779313028309,17.696619652758233,8.49,45.07,14.872296511627907,16.871907433380077,19.621062639821037,4.107536152490229,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,115.91347585678346,80.07,147.85000000000002,109.2456,115.75721126760553,122.74679841897235,10.019378148205321,18.007679842330017,8.879999999999999,47.105000000000004,15.119340659340676,17.118245283018876,19.62886287625416,4.434245343669857,44.75833844300909,23.83,103.25,39.25720554272519,44.245288065843646,49.75109333333338,8.230787417140222,23.216649512755886,13.7,58.9,20.366878727634194,22.36914563106795,25.122287581699364,4.562719349124576,83.87423683346121,50.78,123.09,74.73961373390559,84.23934959349594,93.22746724890833,12.519767787342651,18.010263878243745,8.215,48.88,14.871886051080548,17.11214285714285,20.116761133603237,4.895006243437826,"{""type"":""MultiPoint"",""coordinates"":[]}"
