system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,76.41746603844562,27.78,162.37,62.4987553128602,71.49533633705036,88.48821483729738,18.960344374087644,17.9851774919619,6.45,47.75,15.370431706695742,17.619566688809975,20.118549581005578,3.7238735356538113,30.12104438009533,12.63,71.96,24.86964129902855,28.62039616798095,34.120533391778906,7.22657571772985,18.951770366066366,5.7,44.55,16.37067148314918,18.620683626738916,21.118899593899936,3.6861607993281678,48.247314402731725,20.99,108.55,37.24455598736672,44.74259606549329,56.74337496957755,14.248814516883511,17.0745956887591,6.08,47.08,14.37029109859603,16.618830491864006,19.120199350967688,3.7790496919432255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,104.12846231139895,46.99,148.72,94.25319397993314,104.74614323258861,115.2495723014256,15.31849711759126,17.309827346964788,7.345,47.105000000000004,14.870059417706472,16.869211282319146,19.119920138888883,3.604148493901747,39.3649516730994,12.79,103.25,33.743602344454445,39.74652390438253,44.738474257797805,8.12979477214448,20.885740932725305,9.58,58.9,18.371965484180222,20.617667006629254,22.86886145910093,3.766133115476574,74.05538350505614,35.894999999999996,117.23,62.74561389337643,74.74036205648078,85.74086378737542,14.636670959282666,16.524503732176388,7.38,48.88,14.118589007383118,16.120518121490576,18.36691170595286,3.6828782137997482,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,110.38008485178176,74.78,151.04,99.75387559808613,110.74764878048775,120.74904819277111,13.473683423304022,17.96072409573021,8.28,41.69,15.87137527114968,17.61969580284944,19.6184028185555,3.211955039744701,43.16151278215946,22.23,78.64,38.12390488110141,43.118192389006346,48.11878865979381,7.019918466290009,21.541600217568686,10.95,44.82,19.370695454545466,21.122222222222234,23.371999999999982,3.3938075875546705,82.76918330160466,40.79,127.6,73.7428309859155,84.24497053045185,92.7481238095238,13.438221841138589,17.059986809899467,6.05,39.77,14.62298418127405,16.620357588357578,18.86933290570879,3.4500024990575064,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,114.97731861444888,79.31,151.49,103.75002898550723,116.25056640625004,126.2448427672956,13.974726665304278,17.600690695376244,8.21,41.16,15.622517647058817,17.113690637720495,19.368270588235298,3.101106182172471,44.9589496541323,21.93,70.88,39.61755905511812,44.870342857142845,49.86287703016243,7.14982289959765,21.389024548811534,12.7,41.21,19.308779803646594,21.059049531459223,23.06056795131849,3.094632517176739,88.41568757476483,46.66,129.1,79.24871794871791,90.74661512027491,98.24670863309356,13.977701030680853,16.625912258802753,5.98,39.23,14.369984177215192,16.116296296296305,18.365279805352813,3.3186220820906787,"{""type"":""MultiPoint"",""coordinates"":[]}"
