system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,72.79806111570231,25.32,142.13,60.745828804457766,69.24399712692139,82.24756863704478,16.736330106944713,17.900492469688377,5.45,47.75,15.370753633128992,17.619789024323055,20.119150244997474,3.894526028043575,28.618257769184392,12.89,66.36,24.371109058694152,27.619511085092114,31.868994262599433,5.974939548307778,18.883631397776107,6.43,44.535,16.37134191364812,18.370190796794788,20.868866427579626,3.701177716638794,45.42589976931579,17.56,95.74333333333334,36.247352778884924,43.74267870826353,52.742742910113556,11.53712450787901,17.086798015717886,3.86,47.08,14.370840544947056,16.61997947375011,19.371095481984458,3.9355689136805583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,100.1506852900797,46.99,156.7,88.2467679558012,100.23791390728472,112.24457104557646,16.916056806523628,16.715883002917877,7.125,43.94,14.121840439003817,16.36925576519915,18.620098619329404,3.6184148088124477,37.38702003947807,12.79,70.1,31.372024608501132,37.369739382239366,43.120204081632664,8.014023259374133,19.873359509097135,9.02,43.03,17.369469496021207,19.62165548888105,21.865419447092467,3.612781622566198,68.98320256179204,33.775000000000006,118.57,57.24564239828694,68.2414876760564,79.2344849785407,15.058879197685872,15.877723352214334,6.93,43.4,13.371279908849205,15.371452420701145,17.61780828756866,3.559508241501285,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,110.48133231618628,63.77,151.265,100.74176721511266,110.74626139817602,120.23802772526768,13.318718910611397,17.787412670735282,7.17,47.105000000000004,15.372451181911607,17.36912925783896,19.618775652173937,3.5238836469971733,42.80243446672433,15.9,103.25,37.74812584118437,42.742927698574306,47.74390148830618,7.300740644027212,21.714465199070087,10.16,58.9,19.371469367830112,21.370678080648744,23.618526132404174,3.624945564164581,81.51881088346454,33.4,129.1,71.2412112869924,82.2407710280374,91.73800920598384,13.97916723194165,17.056516564952105,5.98,48.88,14.621155767484124,16.368449317520707,18.868131147540957,3.7623661747645385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,109.96302647541589,71.91,144.52,101.24130699088144,109.73407322654458,118.2522865013774,11.632372186430192,18.408156711624912,10.41,42.43,16.12133190118152,17.87066808059387,20.11858064516128,3.337954689714713,45.843829301363236,25.42,78.64,41.123857868020345,45.36562043795625,49.87212903225804,6.474010533105005,22.041907514451122,11.82,47.24,19.621491124260352,21.61485330073353,23.868166383701187,3.548565604377476,84.06035788196685,45.205,115.2,77.23961165048546,84.24838078291822,91.24943396226418,10.03281065017377,17.827676443302572,10.22,40.04,15.1859124087591,17.18549397590358,19.6881422924901,3.610847125818457,"{""type"":""MultiPoint"",""coordinates"":[]}"
