system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,72.52191296943872,42.05,123.25999999999999,60.734888072588,69.24592807403165,83.74206199947486,15.138941432315535,19.204647515515934,6.88,47.75,16.367105484737777,18.87145887413316,21.369028552977536,4.014549932502263,29.306573945187488,12.93,61.3,25.122564454628982,28.36487802922312,32.3601060433656,5.879567660201508,19.96271293961445,7.72,44.52,17.122324789490932,19.36936684726864,22.12166012293468,4.102244508347093,42.98262654237065,23.8,84.64,33.6165951310244,39.126326566241005,51.12747947573093,11.873467051562516,18.608690647265927,6.29,47.08,15.870015063285374,18.120005460993788,20.620094265149753,4.149930623771127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,77.80529741226066,25.32,156.7,62.49569334685313,73.49040667139133,92.4952985229873,19.38965623530496,17.358419641922886,5.45,47.05,14.868685512046117,17.12041484961851,19.6185085493553,3.792346603872976,29.734531221054752,12.54,69.41,24.86972530714199,28.37004161647266,33.62128361815052,6.890305298890438,18.785881142239834,6.43,44.55,16.37089602223107,18.370034248541174,20.86890640699918,3.563875537595731,49.20283413697461,17.56,110.21,38.240501921817525,47.24437404611429,57.74345685754555,13.909344607895438,16.502868402307275,4.86,43.16,13.87042872626105,16.12118736437135,18.616862455120085,3.753777463157892,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,105.30238302462574,46.99,148.72,95.74465815176565,105.2398986241853,115.24142521534856,13.726095622728117,17.67107668052695,7.34,45.34,15.12206371191136,17.37001557147305,19.617737193763908,3.703621623674817,40.341596489125436,12.79,81.655,35.24913998170172,40.24205161711858,45.24341453170934,7.391759282771202,21.314481067276393,9.99,46.1,18.87110608020698,20.869149001536112,23.36972935137655,3.737362317386505,74.85670772521493,33.4,118.57,65.24541633624108,74.25087605451006,84.23769965277785,13.363474558529514,16.983442279855886,7.38,44.14,14.37189865298268,16.36948235294114,18.87015655577298,3.8236604840207518,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,112.83292854617896,76.79,151.265,103.24577023498685,112.74826181818176,122.24685575364677,12.524641638776902,17.939968893601804,8.21,47.105000000000004,15.62067157019507,17.36952944572748,19.619948622139212,3.481312177563708,44.963068928950406,22.776666666666667,103.25,40.24205423171732,44.74439170182833,49.247604989604945,6.885966999291697,21.8368814826036,11.56,58.9,19.37089297227594,21.369987856709155,23.619289855072488,3.6274087426678214,85.91475190627777,43.42,129.1,78.24105445116683,86.74646706586825,94.24366621067036,11.914730060557233,17.16603928697664,5.98,48.88,14.621024691358024,16.62235809276676,18.866905603230684,3.779704929543342,"{""type"":""MultiPoint"",""coordinates"":[]}"
