system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,72.45802560410098,42.21,122.42,59.23524572983511,67.73007722998666,86.7609267501994,16.119684795993308,18.97542099072225,5.9,44.175,16.111267754804246,18.620879433051254,21.12472204505447,4.229701669699728,29.115852500433284,15.03,57.59,24.861772994416693,28.122150421542308,32.62190120670197,5.6727562350968155,19.908112569773163,8.75,40.803333333333335,17.36943211544234,19.371380762909784,21.861521146801497,3.9092607677498528,42.808606541032596,24.14,82.49,33.11454274053959,38.12342457573852,52.87515212586139,11.906750424364748,18.218757565176716,6.05,42.12,15.623495314883415,17.618069817599814,20.121308336606806,4.078067785217131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,89.04957899318256,24.07,156.7,68.49287858208498,90.49979909863546,108.49602191886173,23.524976871530924,17.651704706964622,5.45,75.9,15.248540318466382,17.24394182588719,19.738573700917808,3.901217495067927,34.46225012666517,11.82,103.25,26.74159817748911,32.74704093614971,41.2469960174474,9.601367079078917,20.074262214911116,6.43,80.94,17.24923705775947,19.74550372382587,22.239287255944404,4.129975271124061,61.06959988073545,17.56,129.1,43.74234356698281,57.24173272013885,78.74572368421057,21.099161893855918,16.939002712776418,4.875,80.03,14.248312717140825,16.244486791710294,18.73936708706139,4.052172737560434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,103.31268647907663,46.99,148.72,93.24255917159762,101.74939130434795,114.24124401913875,15.33576296445164,17.47808590031619,6.8,43.94,14.621248959200669,17.12155287817942,19.615956439393944,4.0062401016950355,40.44763812207282,12.79,78.64,35.25100087796312,40.24006531204643,45.74332675222112,7.938041702404067,20.274007158359648,9.97,47.15,17.621126543209886,19.870366101694927,22.367410147991542,4.0109571487182265,72.1102551117542,35.93,116.0,61.24503660322104,71.25039538714994,82.737901459854,14.167327574551992,16.59152838594221,6.93,41.94,13.871535523300235,16.117783641160955,18.619642082429507,4.062245877579312,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,103.60250786045816,72.16,138.49,96.24347457627117,102.75241935483879,110.24572519083966,10.138951431589465,19.086861805659403,8.93,42.96,16.121349809885924,18.37380546075084,21.36727272727272,4.2925604694705894,44.41708239756436,26.54,72.75,40.37209944751383,43.614958448753455,47.87688888888889,5.887006585334242,22.084787642860796,11.93,45.02,18.87507194244604,21.366882129277567,24.370286738351258,4.372752132561818,73.10014573039841,46.03,104.11,67.86956331877731,72.62178861788614,78.36151376146789,7.446955858497002,18.53666417128321,8.25,42.2,15.368302277432717,17.617490118577077,21.1183164983165,4.502167659188002,"{""type"":""MultiPoint"",""coordinates"":[]}"
