system:index,caribou_density,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_p0,nitrogen_0-5cm_mean_p100,nitrogen_0-5cm_mean_p25,nitrogen_0-5cm_mean_p50,nitrogen_0-5cm_mean_p75,nitrogen_0-5cm_mean_stdDev,nitrogen_100-200cm_mean_mean,nitrogen_100-200cm_mean_p0,nitrogen_100-200cm_mean_p100,nitrogen_100-200cm_mean_p25,nitrogen_100-200cm_mean_p50,nitrogen_100-200cm_mean_p75,nitrogen_100-200cm_mean_stdDev,nitrogen_15-30cm_mean_mean,nitrogen_15-30cm_mean_p0,nitrogen_15-30cm_mean_p100,nitrogen_15-30cm_mean_p25,nitrogen_15-30cm_mean_p50,nitrogen_15-30cm_mean_p75,nitrogen_15-30cm_mean_stdDev,nitrogen_30-60cm_mean_mean,nitrogen_30-60cm_mean_p0,nitrogen_30-60cm_mean_p100,nitrogen_30-60cm_mean_p25,nitrogen_30-60cm_mean_p50,nitrogen_30-60cm_mean_p75,nitrogen_30-60cm_mean_stdDev,nitrogen_5-15cm_mean_mean,nitrogen_5-15cm_mean_p0,nitrogen_5-15cm_mean_p100,nitrogen_5-15cm_mean_p25,nitrogen_5-15cm_mean_p50,nitrogen_5-15cm_mean_p75,nitrogen_5-15cm_mean_stdDev,nitrogen_60-100cm_mean_mean,nitrogen_60-100cm_mean_p0,nitrogen_60-100cm_mean_p100,nitrogen_60-100cm_mean_p25,nitrogen_60-100cm_mean_p50,nitrogen_60-100cm_mean_p75,nitrogen_60-100cm_mean_stdDev,.geo
0_0,1.0,79.45128338241273,33.3,121.12,73.74879097544793,82.74794523359148,88.74488476193277,14.671660673963887,17.03364440531214,5.71,42.94,13.868800106627567,16.620602975128328,19.86947768516876,4.72407815944281,28.924969997440503,13.0,54.25,25.122895557979653,28.619038277609327,32.366470034278834,5.653100732356414,18.685978644028882,6.43,44.32,15.369228798905155,18.369641176766066,21.615974013322134,4.729293145036076,48.58625291703155,18.1,82.21,40.73206017807799,50.74569027369101,57.24034605603665,11.169823560659706,16.758592505150077,4.99,41.79,13.370645874085342,16.12222096475115,19.6239798234874,4.914347481124794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,78.79185165630199,24.093333333333334,150.08,63.24553245348655,76.2475107091955,93.24285210012731,19.884124274583037,17.516480326528384,4.86,60.8,14.621694233707743,17.120642031128277,19.868112600276522,4.56895455705418,30.145057351576458,10.36,68.86,24.621980384923678,28.619803666236162,34.6209925037737,7.823202476161252,19.32704359632006,5.78,72.205,16.25021187146472,18.7441571091533,21.239508891313555,4.610396640848234,50.27088993625274,17.38,119.08,39.24350636674574,47.742044844025514,58.243957205478914,14.853736837908968,16.985834012662657,4.875,66.3,13.869999111208616,16.368721949958864,19.120146350206724,4.778993342834669,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,105.1032054749812,46.99,149.44,94.74174496644294,104.24262560777973,117.24951456310674,16.03017129635126,17.46432959088246,6.686666666666667,65.7,14.620993233446132,16.869105932203382,19.36867711598744,4.3800990270614735,39.88982007367818,12.79,103.25,33.74856666666671,39.74596476025424,45.743541594753204,8.676223440124065,21.278232115624682,8.35,68.86,18.620876000970643,20.619163844199804,23.118905133203423,4.506971825771362,74.2813483491592,33.4,127.725,61.24345370978338,73.73902363184072,87.24262542955324,16.311866720332386,16.884034315909723,6.53,68.25,14.1206960195686,16.11933501683504,18.61648730964471,4.681006084152241,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,105.90448112098562,67.09,145.08,96.74394014962586,106.25094637223974,114.74163030998868,12.183224623387318,19.17351624582687,8.874999999999998,75.9,15.745598027127002,18.246625310173663,21.23943595150236,5.0278874152781174,45.170762527233045,24.89,80.71,40.61895348837212,44.62456725755995,49.12667128987523,6.534005748768997,22.950276641431792,11.82,80.94,19.752268531468534,21.743378723404273,24.74701078582431,5.034677288133606,78.99923433801935,43.620000000000005,114.12,70.75810782241022,79.23969472710446,87.24637647058823,11.128844940945902,18.747917430761383,8.25,80.03,15.246836257309901,17.743246329526947,20.74130534790111,5.452070748524567,"{""type"":""MultiPoint"",""coordinates"":[]}"
