level,what,area,bandwidth,n,type,season,year
0.95,estimate,17771945707,11709.19165,9452,gps,postcalving,2019
0.9,estimate,14591980743,11709.19165,9452,gps,postcalving,2019
0.5,estimate,5089083350,11709.19165,9452,gps,postcalving,2019
0.95,estimate,12125828870,8248.677148,5152,gps,postcalving,2020
0.9,estimate,9275226386,8248.677148,5152,gps,postcalving,2020
0.5,estimate,2131385680,8248.677148,5152,gps,postcalving,2020
0.95,estimate,11199407076,8692.142496,6820,gps,postcalving,2021
0.9,estimate,8867101039,8692.142496,6820,gps,postcalving,2021
0.5,estimate,2204118455,8692.142496,6820,gps,postcalving,2021
0.95,estimate,8797897489,7414.652991,2679,gps,precalving,2011
0.9,estimate,7142073536,7414.652991,2679,gps,precalving,2011
0.5,estimate,2237491539,7414.652991,2679,gps,precalving,2011
0.95,estimate,19544836963,13928.11563,1596,gps,precalving,2012
0.9,estimate,14980315558,13928.11563,1596,gps,precalving,2012
0.5,estimate,4559245545,13928.11563,1596,gps,precalving,2012
0.95,estimate,4381518380,6892.398011,1596,gps,precalving,2013
0.9,estimate,3393161275,6892.398011,1596,gps,precalving,2013
0.5,estimate,890961737.4,6892.398011,1596,gps,precalving,2013
0.95,estimate,52747078265,16542.88325,4846,gps,precalving,2014
0.9,estimate,42982132435,16542.88325,4846,gps,precalving,2014
0.5,estimate,14872841057,16542.88325,4846,gps,precalving,2014
0.95,estimate,15560790668,7717.815423,8762,gps,precalving,2015
0.9,estimate,11847716347,7717.815423,8762,gps,precalving,2015
0.5,estimate,2982344792,7717.815423,8762,gps,precalving,2015
0.95,estimate,25123032859,11103.16096,10509,gps,precalving,2016
0.9,estimate,18813320715,11103.16096,10509,gps,precalving,2016
0.5,estimate,5063073657,11103.16096,10509,gps,precalving,2016
0.95,estimate,13487037650,7387.938821,11895,gps,precalving,2017
0.9,estimate,10144963163,7387.938821,11895,gps,precalving,2017
0.5,estimate,2410401397,7387.938821,11895,gps,precalving,2017
0.95,estimate,40082719434,15390.23243,14433,gps,precalving,2018
0.9,estimate,31720574107,15390.23243,14433,gps,precalving,2018
0.5,estimate,9306988755,15390.23243,14433,gps,precalving,2018
0.95,estimate,10973600277,6822.377384,11090,gps,precalving,2019
0.9,estimate,8149543279,6822.377384,11090,gps,precalving,2019
0.5,estimate,2404354584,6822.377384,11090,gps,precalving,2019
0.95,estimate,45832542259,18427.77192,7023,gps,precalving,2020
0.9,estimate,35713314532,18427.77192,7023,gps,precalving,2020
0.5,estimate,10501968444,18427.77192,7023,gps,precalving,2020
0.95,estimate,20046255978,9149.076963,8672,gps,precalving,2021
0.9,estimate,15079780096,9149.076963,8672,gps,precalving,2021
0.5,estimate,4063325482,9149.076963,8672,gps,precalving,2021
0.95,estimate,12398926544,8483.058201,3984,gps,rut,2010
0.9,estimate,10529200177,8483.058201,3984,gps,rut,2010
0.5,estimate,4192285616,8483.058201,3984,gps,rut,2010
0.95,estimate,29316655980,13051.55181,3600,gps,rut,2011
0.9,estimate,24911612343,13051.55181,3600,gps,rut,2011
0.5,estimate,9406033709,13051.55181,3600,gps,rut,2011
0.95,estimate,21288279685,12515.65546,2631,gps,rut,2012
0.9,estimate,17462761785,12515.65546,2631,gps,rut,2012
0.5,estimate,5330589274,12515.65546,2631,gps,rut,2012
0.95,estimate,1.18508E+11,40333.94767,1976,gps,rut,2013
0.9,estimate,94859106376,40333.94767,1976,gps,rut,2013
0.5,estimate,32153443463,40333.94767,1976,gps,rut,2013
0.95,estimate,38583448583,14318.51488,8579,gps,rut,2014
0.9,estimate,32011469104,14318.51488,8579,gps,rut,2014
0.5,estimate,9821443144,14318.51488,8579,gps,rut,2014
0.95,estimate,42427636558,13283.6232,15634,gps,rut,2015
0.9,estimate,33407862923,13283.6232,15634,gps,rut,2015
0.5,estimate,10760887559,13283.6232,15634,gps,rut,2015
0.95,estimate,21253069742,9773.112811,17417,gps,rut,2016
0.9,estimate,17584753905,9773.112811,17417,gps,rut,2016
0.5,estimate,5405413423,9773.112811,17417,gps,rut,2016
0.95,estimate,51495878270,17504.83869,17864,gps,rut,2017
0.9,estimate,40728244175,17504.83869,17864,gps,rut,2017
0.5,estimate,9798500954,17504.83869,17864,gps,rut,2017
0.95,estimate,26124159737,11404.2935,15462,gps,rut,2018
0.9,estimate,20771757543,11404.2935,15462,gps,rut,2018
0.5,estimate,7317255637,11404.2935,15462,gps,rut,2018
0.95,estimate,52771325296,19459.02397,14116,gps,rut,2019
0.9,estimate,42622073574,19459.02397,14116,gps,rut,2019
0.5,estimate,14461900301,19459.02397,14116,gps,rut,2019
0.95,estimate,28375863963,12774.27177,10090,gps,rut,2020
0.9,estimate,23198402894,12774.27177,10090,gps,rut,2020
0.5,estimate,8825024932,12774.27177,10090,gps,rut,2020
0.95,estimate,23931990123,12090.76834,2996,gps,summer,2011
0.9,estimate,19869685430,12090.76834,2996,gps,summer,2011
0.5,estimate,6845350004,12090.76834,2996,gps,summer,2011
0.95,estimate,27816369207,13014.82792,2046,gps,summer,2012
0.9,estimate,24033013911,13014.82792,2046,gps,summer,2012
0.5,estimate,8887060521,13014.82792,2046,gps,summer,2012
0.95,estimate,29608993568,16395.9647,1606,gps,summer,2013
0.9,estimate,24482536919,16395.9647,1606,gps,summer,2013
0.5,estimate,7877331503,16395.9647,1606,gps,summer,2013
0.95,estimate,21843936789,9997.121604,4948,gps,summer,2014
0.9,estimate,18261799992,9997.121604,4948,gps,summer,2014
0.5,estimate,6509357751,9997.121604,4948,gps,summer,2014
0.95,estimate,24813504731,10308.81678,10489,gps,summer,2015
0.9,estimate,20795169808,10308.81678,10489,gps,summer,2015
0.5,estimate,7177040260,10308.81678,10489,gps,summer,2015
0.95,estimate,20109522988,8493.123313,13912,gps,summer,2016
0.9,estimate,16945519660,8493.123313,13912,gps,summer,2016
0.5,estimate,5720206188,8493.123313,13912,gps,summer,2016
0.95,estimate,24701057696,9338.262764,14421,gps,summer,2017
0.9,estimate,21261919612,9338.262764,14421,gps,summer,2017
0.5,estimate,8220742835,9338.262764,14421,gps,summer,2017
0.95,estimate,28143938909,12951.29676,16388,gps,summer,2018
0.9,estimate,22958181630,12951.29676,16388,gps,summer,2018
0.5,estimate,7785874904,12951.29676,16388,gps,summer,2018
0.95,estimate,33714576585,15888.044,12133,gps,summer,2019
0.9,estimate,27465577457,15888.044,12133,gps,summer,2019
0.5,estimate,9330320198,15888.044,12133,gps,summer,2019
0.95,estimate,26886348610,14517.93667,6481,gps,summer,2020
0.9,estimate,21774856843,14517.93667,6481,gps,summer,2020
0.5,estimate,7582510840,14517.93667,6481,gps,summer,2020
0.95,estimate,24905364792,11338.85619,7810,gps,winter,2011
0.9,estimate,20227332411,11338.85619,7810,gps,winter,2011
0.5,estimate,5659387496,11338.85619,7810,gps,winter,2011
0.95,estimate,19794768854,12792.33013,4720,gps,winter,2012
0.9,estimate,15832745028,12792.33013,4720,gps,winter,2012
0.5,estimate,5019889057,12792.33013,4720,gps,winter,2012
0.95,estimate,8156442837,6868.332281,4923,gps,winter,2013
0.9,estimate,6637272476,6868.332281,4923,gps,winter,2013
0.5,estimate,1669741912,6868.332281,4923,gps,winter,2013
0.95,estimate,59645563439,20845.23129,9526,gps,winter,2014
0.9,estimate,47759997399,20845.23129,9526,gps,winter,2014
0.5,estimate,14311719975,20845.23129,9526,gps,winter,2014
0.95,estimate,27326017500,12540.07686,9875,gps,winter,2015
0.9,estimate,22061832584,12540.07686,9875,gps,winter,2015
0.5,estimate,6939077381,12540.07686,9875,gps,winter,2015
0.95,estimate,55157270771,18593.51436,16500,gps,winter,2016
0.9,estimate,45268769765,18593.51436,16500,gps,winter,2016
0.5,estimate,14280676129,18593.51436,16500,gps,winter,2016
0.95,estimate,17281252509,8242.011982,19317,gps,winter,2017
0.9,estimate,12910561923,8242.011982,19317,gps,winter,2017
0.5,estimate,3447517623,8242.011982,19317,gps,winter,2017
0.95,estimate,43858554173,19959.98065,15747,gps,winter,2018
0.9,estimate,33102886781,19959.98065,15747,gps,winter,2018
0.5,estimate,8733076239,19959.98065,15747,gps,winter,2018
0.95,estimate,33932500236,13346.10188,13013,gps,winter,2019
0.9,estimate,26159544191,13346.10188,13013,gps,winter,2019
0.5,estimate,6978905023,13346.10188,13013,gps,winter,2019
0.95,estimate,45822129882,20312.3201,11758,gps,winter,2020
0.9,estimate,33984941856,20312.3201,11758,gps,winter,2020
0.5,estimate,7068011707,20312.3201,11758,gps,winter,2020
0.95,estimate,27993780448,11466.85036,11195,gps,winter,2021
0.9,estimate,22409317031,11466.85036,11195,gps,winter,2021
0.5,estimate,6765154403,11466.85036,11195,gps,winter,2021
0.95,estimate,10931578420,11992.09394,78,vhf,autumn,1992
0.9,estimate,8085232259,11992.09394,78,vhf,autumn,1992
0.5,estimate,2428178854,11992.09394,78,vhf,autumn,1992
0.95,estimate,6920600106,10152.52212,50,vhf,autumn,1993
0.9,estimate,5301175759,10152.52212,50,vhf,autumn,1993
0.5,estimate,1371989630,10152.52212,50,vhf,autumn,1993
0.95,estimate,10499004126,11068.23943,138,vhf,autumn,1994
0.9,estimate,8090780625,11068.23943,138,vhf,autumn,1994
0.5,estimate,2440295392,11068.23943,138,vhf,autumn,1994
0.95,estimate,16659634949,12553.46926,279,vhf,autumn,1995
0.9,estimate,14016002458,12553.46926,279,vhf,autumn,1995
0.5,estimate,5023189670,12553.46926,279,vhf,autumn,1995
0.95,estimate,21799648890,15265.98899,422,vhf,autumn,1996
0.9,estimate,18108734550,15265.98899,422,vhf,autumn,1996
0.5,estimate,6645773356,15265.98899,422,vhf,autumn,1996
0.95,estimate,17008423390,12046.71,568,vhf,autumn,1997
0.9,estimate,13730270952,12046.71,568,vhf,autumn,1997
0.5,estimate,4853646989,12046.71,568,vhf,autumn,1997
0.95,estimate,19102388682,14240.16896,267,vhf,autumn,1998
0.9,estimate,15748318648,14240.16896,267,vhf,autumn,1998
0.5,estimate,5733745152,14240.16896,267,vhf,autumn,1998
0.95,estimate,21140267611,14097.13997,322,vhf,autumn,1999
0.9,estimate,17521175178,14097.13997,322,vhf,autumn,1999
0.5,estimate,6380673986,14097.13997,322,vhf,autumn,1999
0.95,estimate,14731264937,11765.19495,212,vhf,autumn,2000
0.9,estimate,11774776691,11765.19495,212,vhf,autumn,2000
0.5,estimate,2815027511,11765.19495,212,vhf,autumn,2000
0.95,estimate,25486870410,17072.70587,307,vhf,autumn,2001
0.9,estimate,21210820041,17072.70587,307,vhf,autumn,2001
0.5,estimate,7892722643,17072.70587,307,vhf,autumn,2001
0.95,estimate,33640968107,21791.40821,153,vhf,autumn,2002
0.9,estimate,27453857863,21791.40821,153,vhf,autumn,2002
0.5,estimate,7996681390,21791.40821,153,vhf,autumn,2002
0.95,estimate,31880308184,19939.96464,274,vhf,autumn,2003
0.9,estimate,26269335808,19939.96464,274,vhf,autumn,2003
0.5,estimate,9423674100,19939.96464,274,vhf,autumn,2003
