level,what,area,bandwidth,n,type,season,year,area_km,int_m2,int_km2
0.95,estimate,23787170046,13454.55788,3082,gps,autumn,2011,23787.17005,10105097492,10105.09749
0.9,estimate,19527318645,13454.55788,3082,gps,autumn,2011,19527.31865,9340900303,9340.900303
0.5,estimate,6735965642,13454.55788,3082,gps,autumn,2011,6735.965642,4347240127,4347.240127
0.95,estimate,17898254133,11417.65784,1694,gps,autumn,2012,17898.25413,8291237708,8291.237708
0.9,estimate,15067963644,11417.65784,1694,gps,autumn,2012,15067.96364,7407184312,7407.184312
0.5,estimate,5566447254,11417.65784,1694,gps,autumn,2012,5566.447254,3594609668,3594.609668
0.95,estimate,35504390460,16939.348,1154,gps,autumn,2013,35504.39046,11957161247,11957.16125
0.9,estimate,29257386390,16939.348,1154,gps,autumn,2013,29257.38639,11425727483,11425.72748
0.5,estimate,7875557703,16939.348,1154,gps,autumn,2013,7875.557703,5948328526,5948.328526
0.95,estimate,23378041901,10766.18384,5135,gps,autumn,2014,23378.0419,12600602460,12600.60246
0.9,estimate,19590696074,10766.18384,5135,gps,autumn,2014,19590.69607,11557555164,11557.55516
0.5,estimate,6481188711,10766.18384,5135,gps,autumn,2014,6481.188711,4561406290,4561.40629
0.95,estimate,23013468809,9038.076748,10397,gps,autumn,2015,23013.46881,13108967612,13108.96761
0.9,estimate,18835266888,9038.076748,10397,gps,autumn,2015,18835.26689,11721193229,11721.19323
0.5,estimate,6254468522,9038.076748,10397,gps,autumn,2015,6254.468522,4499251291,4499.251291
0.95,estimate,16635787536,7144.601365,13881,gps,autumn,2016,16635.78754,12500095114,12500.09511
0.9,estimate,13499404493,7144.601365,13881,gps,autumn,2016,13499.40449,11211322130,11211.32213
0.5,estimate,5098824676,7144.601365,13881,gps,autumn,2016,5098.824676,4657186537,4657.186537
0.95,estimate,23886184140,9203.498775,14121,gps,autumn,2017,23886.18414,14114482650,14114.48265
0.9,estimate,20483582020,9203.498775,14121,gps,autumn,2017,20483.58202,13652336510,13652.33651
0.5,estimate,8543867312,9203.498775,14121,gps,autumn,2017,8543.867312,5815011260,5815.01126
0.95,estimate,21978162797,9330.619189,15142,gps,autumn,2018,21978.1628,12368908779,12368.90878
0.9,estimate,18668732746,9330.619189,15142,gps,autumn,2018,18668.73275,11406280378,11406.28038
0.5,estimate,6260421212,9330.619189,15142,gps,autumn,2018,6260.421212,4298062310,4298.06231
0.95,estimate,19675313667,8753.409369,10806,gps,autumn,2019,19675.31367,12629434314,12629.43431
0.9,estimate,16446802974,8753.409369,10806,gps,autumn,2019,16446.80297,11589580520,11589.58052
0.5,estimate,6729088689,8753.409369,10806,gps,autumn,2019,6729.088689,6234775030,6234.77503
0.95,estimate,25145794207,11891.81427,5677,gps,autumn,2020,25145.79421,13889762385,13889.76238
0.9,estimate,21611948661,11891.81427,5677,gps,autumn,2020,21611.94866,13162987106,13162.98711
0.5,estimate,7866897152,11891.81427,5677,gps,autumn,2020,7866.897152,4249759526,4249.759526
