LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC1,131726.8471,303325.9137,28652.11373,82624.50588,1526,266131.3843,109254.5647,1841.792157,168195.8196,2431.819608,393223.6745,71500.03529,2532.968627,78262.04314,2336.658824,214736.6118,270099.3725,30134.89804,32634.49804,250,160889.102,227055.5216,29299.70588,118952.3529,11658.69804,1,512051.9059,18001.47451,1757,15606,439,253538.0431,100153.7137,831,192935.6235,397,postcalving,159000.0078,81817.8,3466.760784,282802.7647,20768.04706
LC2,157,404,7,541,8,678,106,11,296,26,669,269,31,141,7,222,405,80,357,53,445,238,43,266,125,1,357,235,12,507,6,191,415,4,487,20,postcalving,946,22,4,120,25
LC3,8367.866667,19244.01961,188,15271.42353,97,22465.30588,7219.882353,374,12257.64706,851.4745098,26621.65098,8614.988235,504,7209.670588,218,11869.63137,18162.98431,3048.709804,9606.984314,480,10655.52549,15325.57255,1359.827451,13652.38431,2175,1,25057.28627,5211.866667,76,12704.15686,119,12311,9472.117647,48,21098.19216,239,postcalving,30819.00392,2824.596078,276,7832,1416.709804
LC4,877435.5294,1989064.702,91056.33725,838847.8196,14683.00392,1583987.467,1054698.933,9285.313725,1150525.596,12590.08235,3126446.451,323826.9412,11814.32549,335191.3961,13808.27843,1936766.902,1467408.878,140261.9922,262745.9176,3903.701961,924807.1373,1615658.012,113647.7255,1112879.329,44095.18824,1,2743718.506,365972.4118,11340.76078,662863.549,27192.16471,1617036.827,783128.3216,3693.952941,1400138.416,7089.87451,postcalving,1078081.776,689100.498,20198.42745,1906515.769,117190.9216
LC5,710031.2627,1355555.655,50973.38431,844656.4353,10682.50196,786713.6784,990745.902,15796.14902,1153170.176,25473.33333,2213341.776,537168.902,10449.92549,208452.6353,2486,2407855.976,376483.349,80258.85098,99693.06275,7608,737722.2549,1183409.682,126506.4902,883246.6863,41014.12549,1,1094935.039,597416.6706,6325,1241485.976,31736.55294,1158887.733,859815.8824,7634.968627,932805.7373,12754.91765,postcalving,1014535.4,660940.8902,13022.81569,1231529.055,51871.07843
LC6,188788.7255,504649.2,7552.933333,472595.2157,3365.521569,449570.0157,310695.5216,15569.79216,377063.8235,24052.44314,655801.3255,320326.4588,5247.643137,192446.4667,3129.701961,655967.549,297423.5569,89915.61176,121035.5922,12609.28627,214519.9059,436322.3608,48084.47059,426356.3451,51668.51373,1,458795.9333,163216.2118,4362.847059,530792.6667,19783.93725,249197.302,391186.2157,2370,525155.0784,9043,postcalving,726807.8706,107839.4196,6495.560784,309439.1882,26369.55686
LC7,56334.39608,80993.0549,2842.721569,54252.46667,684,51160.41569,83868.77647,473,59239.44706,365,158834.7451,22093.49804,139,13944.39608,95,182483.6431,9027,1937.996078,1586,72,55649.67843,77135.03137,4939.729412,55893.2,1489,1,78003.77647,47620.13725,941.7529412,67275.97255,1265,95315.30588,44574.72157,576.9921569,53311.61961,1328,postcalving,54575.81569,53063.92157,558,84423,2485.901961
LC8,665591.6627,1336993.161,77532.2,683654.8039,14460.36078,751767.1686,956189.2471,26886.83529,1014976.325,28412.61176,1906133.027,557503.5176,18037.51765,289228.4588,7329.666667,2331532.322,217083.7412,131174.502,81343.86667,17097.75686,819042.5137,1044526.565,153953.8392,723228.8941,37480.37647,1,866324.0549,665379.8314,13990,1203704.718,28833.58431,1023191.345,839261.4706,11751.27843,883209.1569,20818.93725,postcalving,926577.5412,693025.0196,19718.67451,1052194.992,86715.96078
LC9,356023.5216,828557.8627,22291.48235,421178.898,2079,404966.8039,643628.8627,4688,570290.098,6557,1299703.451,220245.9725,1433,108335.3412,413,1416968.145,126542.2627,51409.38039,30744.97647,4466,353078.0706,705629.6627,50075.14118,512203.0471,9144.843137,1,471169.5608,341238.2235,2225,800603.0941,14894.88627,628580.8431,408492.451,5883,571415.902,15758.56863,postcalving,523021.9216,328671.2392,2742,746639.6941,29055.9098
LC10,1297548.055,592987.2,182910.149,300912.3373,29828.36863,666638.9765,999523.5804,11246.29804,723821.5451,2955.709804,1689050.475,349864.0706,4701.74902,355530.9216,5038.894118,2373119.698,23177.42745,4008,3856.984314,24,1390018.051,558709.8471,99987.20392,339923.8078,15547.2,1,1021897.812,662462.302,14701.12941,694816.9569,10307.9098,1464394.882,435897.5216,8981.286275,485843.4196,9069,postcalving,606176.3961,964443.4275,31141.72549,778171.1137,24253.44706
