LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC1,117147.5843,219413.9647,24653.4,53318.97647,1010,208799,118760.2353,1753.792157,86184.89804,46,348427.451,27803.59608,536,37205.87843,1571,191444.1647,188244.2353,12056.52549,23637,162,129611.9843,179056.3294,21204.12157,83343.57255,2327.917647,1,385375.6431,17738.28235,1360,10817,253,210186.8745,72293.63922,481,132297.4118,285,calving,105494.9608,72412.29804,2427.760784,224032.4706,11176.43529
LC2,54,211,20,182,3,127,92,31,220,,404,37,3,25,1,105,155,35,141,34,99,186,46,136,3,1,272,50,24,115,9,125,119,3,208,15,calving,201,34,18,201,16
LC3,3247.866667,9711.639216,114,5087.67451,26,6447.298039,5366.882353,288,6065,20,13052.46275,2382,74,2598.717647,80,6181.866667,7461.313725,1581,2750,213,3839,7725.678431,546.827451,5884.67451,191,1,10073.71765,2308.866667,57,5653.596078,94,5703.756863,3839.541176,36,8502.882353,105,calving,8316.827451,2577.352941,211,6437,645
LC4,1430722.741,2742964.765,114882.7137,993151.1529,17200.27843,2280463.196,1731801.541,13795.51373,1272328.4,533,4733552.129,275004.5882,5564.905882,273699.6941,11100.33333,2894149.592,1982757.02,112450.0118,307076.3255,2488.701961,1433231.427,2233356.506,131367.051,1474191.804,26774.86275,1,3788750.553,509552.6902,13455.94118,942343.5804,44818.88627,2548897.016,1022590.529,2969.509804,1717027.722,7436.87451,calving,1337461.647,986010.8157,21264.22353,2838502.839,115682.1255
LC5,826547.702,1540160.784,58594.54902,986526.3647,11158.62745,890955.1569,1240104.733,19014.75294,1266979.384,5934,2721616.38,492785.2667,8262.92549,197559.4549,2764,2647769.392,546879.149,83882.85098,137692.6353,6764,826212.1686,1381743.098,137590.6706,1039742.431,37699.65882,1,1413331.204,636190.6745,7434,1330320.733,35711.41569,1415946.502,895259.2863,7488.968627,1089554.353,14738.91765,calving,1157078.502,754246.9843,18142.73725,1442408.725,51111.07843
LC6,151420.2235,386545.7373,6296.223529,362683.4745,1897,247792.6627,342539.7333,18404.87059,298118.3922,1987,595780.2,198457.1647,1383,111580.3176,1641.976471,493544.3412,256249.3216,62138.72157,89620.93725,7289.337255,150098.5725,364820.5451,34307.95686,338136.7569,21478.82745,1,399105.2196,113851.1882,3308,379496.5059,13081.7451,210321.5569,239604.7725,1815,448315.7412,8785.588235,calving,462039.3216,115520.9294,7155.32549,305303.1569,18823.92549
LC7,60630.76863,89908.99216,3449.721569,58077.46667,655,55034.34902,92508.71373,499,64522.88627,157,176441.6784,22334.93725,109,13745.33333,91,195221.9529,12784,2232.996078,2404,79,58800.05098,86019.03137,5506.666667,60962.2,1434,1,89056.7098,50608.07451,1053.752941,70492.41176,1511,104991.6157,47908.72157,560.9921569,57871.61961,1389,calving,58691.74902,57314.85882,558,93521.43922,2635.901961
LC8,676146.3412,1351612.075,78201.43137,672230.7137,13709.57647,704652.5843,1016996.753,29401.50588,1033344.286,7505.007843,2002892.451,500165.7961,14109.51765,267685.9922,7046.380392,2339855.078,229418.7765,131710.502,77357.78039,13558,784425.3529,1083661.149,151156.5843,742145.4157,30511.63529,1,895136.5255,674690.1294,14572.97647,1178191.902,29308.60392,1059542.102,789763.8588,10963.06667,909778.0549,21853.0549,calving,853025.6706,730561.4784,22423.56078,1099068.796,86820.63137
LC9,395004.7137,901709.1608,23728.48235,468496.0196,2037,446756.8824,720371.8314,5093,617070.6627,1683,1458480.478,223003.5569,1221,107819.3412,451,1539404.475,152183.9412,57203.38039,37434.58039,4749,381245.2471,778246.702,53885.1098,568652.4745,8945.843137,1,535609.7412,367707.6706,2593.921569,868230.1569,16833.88627,697931.8863,427316.0549,5893,643133.8667,16700.56863,calving,575947.6431,362030.8196,3258,820306.0039,29432.9098
LC10,1303244.937,636567.4667,195774.7059,319438.2431,28830.42353,690758.4078,1048362.176,15289.95686,728396.2353,1049,1779842.404,336258.4,4142.74902,356359.3294,7252.894118,2443386.831,30284.02353,5488.937255,4667.984314,28,1376249.8,614355.5569,109752.4471,367749.7725,15748.2,1,1084053.098,656951.2314,13846.12941,717049.3255,11955.99216,1482441.522,459463.4784,8763.286275,524001.5529,9185.937255,calving,635050.8627,999996.3412,35091.48627,790828.6314,22888.4549
