system:index,caribou_density,mean,p0,p100,p25,p50,p75,stdDev,.geo
0_0,1.0,951.5725075781186,325.0,1860.0,827.537917234348,923.4526049222143,1075.4682031837604,192.4219914909655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,1040.3559870108782,309.75,2002.3333333333333,891.5224019364828,1027.4930312310057,1179.4814331646235,221.80864725107588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,999.8888721310713,365.0,1761.3333333333333,867.5207921225383,995.4984962699683,1123.4843265516354,187.5757614428916,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,1077.9493326609252,375.0,1845.0,939.4897243462902,1067.503281175698,1211.4872307547125,196.91603791009044,"{""type"":""MultiPoint"",""coordinates"":[]}"
