system:index,caribou_density,mean,p0,p100,p25,p50,p75,stdDev,.geo
0_0,1.0,1036.4770856220102,280.3333333333333,1939.5,875.5155799361476,1027.484085393746,1187.4800183164577,229.7701039106723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,1003.6086961345816,314.5,1848.3333333333333,875.5182726362326,995.506768579761,1123.456516403958,190.9653046864695,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,1036.7277383513365,345.5,1845.0,891.5238612993794,1027.4972469358552,1171.4909926720788,200.65367093310914,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,1046.845724293374,438.5,1669.0,923.5149466726754,1043.5019366372032,1163.4782616199795,168.9763955769248,"{""type"":""MultiPoint"",""coordinates"":[]}"
