system:index,caribou_density,mean,p0,p100,p25,p50,p75,stdDev,.geo
0_0,1.0,559.6797447856275,69.0,1768.0,339.5419519650939,547.524795956629,747.5355991843852,270.1606221863881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,923.3167063056679,145.0,2186.0,715.5113815142533,923.5019238649035,1115.4846649400138,296.7654908804811,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,965.7706083060835,195.0,1963.0,811.5139541105486,963.5015404197078,1115.4686558738904,239.5747838068766,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,910.6243703026882,255.0,1769.0,755.5125894466354,907.4955404006141,1059.4786134895746,223.12090954894268,"{""type"":""MultiPoint"",""coordinates"":[]}"
