system:index,caribou_density,mean,p0,p100,p25,p50,p75,stdDev,.geo
0_0,1.0,1098.281013454755,419.0,2145.0,939.5180195887073,1067.4928187883693,1227.475245188902,224.47369252858832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2.0,1030.672245258609,459.0,1857.8709677419354,915.522018043806,1011.4955403584338,1131.4795280250141,173.08046990127215,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3.0,1118.5122240391008,556.5,1952.0,979.5156548974943,1099.4840188979065,1243.4748757984387,195.0963807167173,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,4.0,1138.6449618546658,663.0,1916.0,1003.5224969109136,1115.4916223202067,1259.49863186396,185.3339588501368,"{""type"":""MultiPoint"",""coordinates"":[]}"
